时间,标签（标题),内容,转发数,点赞数,评论数,热评链接
2020-06-18,#北京恢复所有小区卡口设置#,【#北京恢复所有小区卡口设置# 转发周知！战疫情！】今天上午，北京市召开第124场新闻发布会。会上北京新冠肺炎疫情防控工作领导小组社区防控组副组长、市委组织部副部长张革表示，恢复所有小区卡口设置。（总台央视记者 何畅 危家煦）央视新闻的微博视频 ,230,868,135,https://weibo.cn/comment/hot/J7bw8g7vg?rl=2
2020-06-18,#北京新增21例确诊#,#北京新增21例确诊#【直播！#北京疫情防控工作发布会#】今天上午，北京召开疫情防控新闻发布会。市政府相关部门负责人介绍有关情况，并答记者问。关注！（总台央视记者何畅） 央视新闻的微博视频 . ,247,4962,266,https://weibo.cn/comment/hot/J7boSvCmN?rl=2
2020-06-18,#北京丰台一天为8.7万人采集咽拭子#,【#北京丰台一天为8.7万人采集咽拭子# 战疫情！】昨日，来自26家医疗机构的1400名医务人员在北京丰台为8.7万多人采集了咽拭子。采集的样本会被尽快送到第三方检测机构，进行核酸检测。至此，从11日北京新增新冠肺炎确诊病例以来，#北京丰台累计核酸检测20多万人#。（总台央视记者 张景 杨凯 通讯员 彭飞） http://t.cn/A6Lx2jZM,1168,3898,446,https://weibo.cn/comment/hot/J7blACZHd?rl=2
2020-06-17,#习近平主持中非团结抗疫特别峰会#,#习近平主持中非团结抗疫特别峰会#【独家视频丨习近平：我相信，#人类终将战胜疫情#】国家主席习近平17日晚在北京主持中非团结抗疫特别峰会并发表主旨讲话。习近平在讲话中指出：“我们在中非合作论坛北京峰会上一致决定构建更加紧密的中非命运共同体。今天我们召开团结抗疫特别峰会，就是用实际行动践行北京峰会承诺，也是为国际抗疫合作贡献力量。我相信，人类终将战胜疫情，中非人民也终将过上更加美好的生活。”（总台央视记者史伟 邢彬 彭汉明） http://t.cn/A6LI4tYI,1098,4013,376,https://weibo.cn/comment/hot/J76UL2So0?rl=2
2020-06-17,#主播说联播#,#主播说联播#【#热干面挺过来了炸酱面也会好起来# 加油！】郭志坚：疫情还处在上升期，#北京不排除发病人数还会持续一定时间#…这些都说明我们对疫情有科学、清醒的认识。这几天北京密集召开发布会，通报连连，也是为了及时回应关切。咱们不打无准备之仗，也不必恐慌，如果你没有接触史也没有不适，那就不用扎堆检测，做好防护就好。“热干面”已经挺过来了，“炸酱面”也会好起来的！ http://t.cn/A6LIzAP2,1425,13522,1055,https://weibo.cn/comment/hot/J76Htfo6a?rl=2
2020-06-17,#央视解读疫情下的北京社区防控#,【直播！#央视解读疫情下的北京社区防控#】应急响应上调到二级后，北京所有小区严格封闭式管理，学校停课，进出京管控；13日开始，#北京已对35.6万重点人员进行核酸检测#。疫情下，北京的社区防控怎么做？国家卫健委疾病预防控制专家委员会专家吴浩为你解读↓关注《新闻1+1》！ 央视新闻的微博视频 . ,1308,9335,725,https://weibo.cn/comment/hot/J767Ir1lw?rl=2
2020-06-17,#北京32个地区中风险#,#北京32个地区中风险#【#北京又有5个街道升级为中风险# 转！警惕！战疫情！】截至6月17日15时，北京市又有5个街道升级为中风险地区，分别为东城区和平里街道、北新桥街道、丰台区长辛店街道、大兴区青云店镇、西城区白纸坊街道。目前，北京已经有32个街乡镇升级为中风险地区，另有丰台花乡地区为高风险地区。,798,2217,628,https://weibo.cn/comment/hot/J75Jy2yIZ?rl=2
2020-06-17,#北京还处于疫情上升期#,【#北京还处于疫情上升期#！转发提醒：严防严控，绝不放松！】①6月16日，#北京新增31例确诊#，最小8岁，最大70岁，均与新发地市场有关联；②#北京已对35.6万重点人员进行核酸检测#；③目前北京市疫情还处于上升期，#北京不排除发病人数还会持续一定时间#......更多↓↓周知！ ,646,3077,336,https://weibo.cn/comment/hot/J75IkCPvR?rl=2
2020-06-17,#北京教育和考试应对疫情最新措施#,【转扩！#北京教育和考试应对疫情最新措施#】看今日北京疫情防控工作发布会要点↓ ,162,789,137,https://weibo.cn/comment/hot/J74Pyz5bq?rl=2
2020-06-17,#赵立坚说澳方才适合戴虚假宣传这顶帽子#,【#赵立坚说澳方才适合戴虚假宣传这顶帽子#】今天，#外交部回应澳方妄称中方虚假宣传#时表示：我们从不，也没有必要靠什么虚假宣传或者虚假信息去提升形象。澳大利亚研究院近日发表报告指出，美国借疫情操纵网络水军，散布新冠病毒为中国政府人为制造生化武器的阴谋论，这才是不折不扣的虚假信息。澳大利亚外长为何对此视而不见？澳方称中方进行虚假宣传，大量事实表明，适合戴虚假宣传这顶帽子的，恐怕不是中方，而恰恰是澳方。http://t.cn/A6LfU4Ia,1181,3486,247,https://weibo.cn/comment/hot/J74j01PiB?rl=2
2020-06-17,#北京不排除发病人数还会持续一定时间#,【#北京不排除发病人数还会持续一定时间# 转！警惕！】北京市疾控中心副主任庞星火：推断#北京此次疫情在早期即被发现#。目前北京市疫情还处于上升期。考虑新发地市场是北京市最大的农副产品交易场所，物流广泛、人员密集，疫情扩散风险大，控制难度较大，不排除发病人数未来还会维持并持续一定时间。http://t.cn/A6LfzYbB,1518,17620,1471,https://weibo.cn/comment/hot/J74cNlXiD?rl=2
2020-06-17,#北京已对35.6万重点人员进行核酸检测#,【#北京已对35.6万重点人员进行核酸检测#】6月13日起，北京已经迅速对新发地等出现疫情的市场人员、周边小区居民，大数据排查涉疫市场人员，社区敲门行动中主动报告、有关接触史的人员以及全市各农贸市场工作人员约35.6万人进行了核酸检测。今天将完成对大数据筛查的35.5万涉疫市场相关人员的检测工作，对重点行业、重点领域、重点地区人员的核酸检测工作也在同步进行。（总台央视记者王丰 陈宝善）,384,3653,401,https://weibo.cn/comment/hot/J7459Bd8v?rl=2
2020-06-17,#北京新增31例确诊#,#北京新增31例确诊#【直播！#北京疫情防控工作发布会#】今天下午，北京市召开新冠肺炎疫情防控工作新闻发布会。关注！（总台央视记者王丰 陈宝善） 央视新闻的微博视频 . ,383,10835,645,https://weibo.cn/comment/hot/J73Y82wHp?rl=2
2020-06-17,#北京新增31例确诊#,#北京新增31例确诊#【直播！#北京疫情防控工作发布会#】今天，北京市召开新冠肺炎疫情防控工作新闻发布会，北京市教委等部门将介绍相关情况并回答记者提问。关注！（总台央视记者王丰 陈宝善） 央视新闻的微博视频 . ,750,17472,859,https://weibo.cn/comment/hot/J72a7rYBx?rl=2
2020-06-17,#进出京火车票退票免收手续费#,"【转发周知！#进出京火车票退票免收手续费#】记者从中国国家铁路集团有限公司获悉，为配合北京市做好应急响应级别由三级提升到二级的疫情防控工作,铁路部门决定：自2020年6月17日0时起，旅客在车站、12306网站等各渠道，办理2020年6月16日24时前已购的进出北京地区各次列车有效车票退票时，均不收取退票手续费，购买铁路乘意险的一同办理。（总台央视记者陈俏）",810,2592,820,https://weibo.cn/comment/hot/J71ltu4t6?rl=2
2020-06-17,#北京6天内新增确诊137例#,#北京6天内新增确诊137例#【#北京新增31例确诊# 转！战疫情！】6月16日0时至24时，北京新增报告本地确诊病例31例、疑似病例3例、无症状感染者6例。新增确诊病例中，东城区3例、西城区1例、海淀区3例、丰台区19例、大兴区5例。（总台央视记者牟媞媞） ,2687,44446,2597,https://weibo.cn/comment/hot/J70ZwelCE?rl=2
2020-06-16,#北京中小学明起一律停止到校上课#,【周知！#北京中小学明起一律停止到校上课#】据北京市教委消息，从明日（6月17日）起，中小学各年级一律停止到校上课。初高三年级也同步恢复居家线上教学；#明起北京各类型幼儿园均不再开园#；另据北京疫情防控工作发布会消息， #北京市高校学生停止返校# 。 ,2094,11505,1416,https://weibo.cn/comment/hot/J6Xgy6KHc?rl=2
2020-06-16,#北京要时刻保持战时状态#,【#北京要时刻保持战时状态#】#北京疫情防控工作发布会#通报：此起聚集性疫情已波及9个区28个街道，包括在三个省市引发了相关病例，本起聚集性疫情初步判断由人际传播或物品环境污染引发的感染所至，且密切接触者中出现了明确的续发感染，这些情况再次给我们敲响了警钟。央视新闻的微博视频 ,1988,7943,681,https://weibo.cn/comment/hot/J6X8RFpNx?rl=2
2020-06-16,#北京疫情防控工作发布会#,【最新！#北京疫情防控工作发布会#】看直播↓关注！（总台央视记者王小节 张伟泽 邓煜洲） 央视新闻的微博视频 . ,1895,30159,1451,https://weibo.cn/comment/hot/J6X65dcEE?rl=2
2020-06-16,#北京106例确诊全部在地坛医院集中救治#,#北京106例确诊全部在地坛医院集中救治#【直播！#北京疫情防控工作发布会#】今晚，北京市召开疫情防控例行新闻发布会，请有关单位通报相关情况。关注！（总台央视记者王小节 张伟泽 邓煜洲） 央视新闻的微博视频 . ,31234,126305,2495,https://weibo.cn/comment/hot/J6W0prrIS?rl=2
2020-06-16,#世卫表示不认为北京疫情失去控制#,【#世卫表示不认为北京疫情失去控制# 将继续支持中国应对疫情】当地时间15日，针对近日北京出现的新冠肺炎聚集性疫情，世卫组织紧急项目负责人瑞安表示：过去六个月，中国在应对新冠肺炎方面学到很多经验，中国相关机构正在调查并控制此次疫情，#世卫组织将与中国密切合作#，继续提供支持。 http://t.cn/A6L593zR,418,7368,380,https://weibo.cn/comment/hot/J6U3JBFNf?rl=2
2020-06-16,#北京疫情防控形势十分严峻#,#北京疫情防控形势十分严峻#【#坚决做好疫情防控是北京最重要最紧迫任务#】当前，坚决做好疫情防控工作是最重要最紧迫的任务，必须要从严从紧落实各项要求，必须争分夺秒，主动出击，始终跑在疫情前面，采取最坚决、最果断、最严格的措施。 央视新闻的微博视频 ,297,1407,212,https://weibo.cn/comment/hot/J6SH54bbA?rl=2
2020-06-16,#涉广外天陶红莲菜市场62人检测阴性#,【北京西城：#涉广外天陶红莲菜市场62人检测阴性#】#北京疫情防控工作发布会#通报：6月14日西城广外天陶红莲菜市场发现确诊病例后，针对所有市场商户及工作人员，涉及西城区的62名人员已进行隔离管控，并同步开展核酸检测，结果均为阴性。西城同时迅速开展摸排，要求5月30日（含）以来，凡是到过广外天陶红莲菜市场的人员，主动向居住地社区报告，自觉进行居家观察，由社区进行全面筛查。（总台央视记者王小节 张伟泽 邓煜洲） http://t.cn/A6LqsIni,242,1252,184,https://weibo.cn/comment/hot/J6SCF7xHh?rl=2
2020-06-16,#北京5天内新增确诊106例#,#北京5天内新增确诊106例#【直播！#北京疫情防控工作发布会#】今天上午，北京市召开疫情防控例行新闻发布会，北京市市场监管局、西城区等发布相关情况。关注！（总台央视记者张伟泽 邓煜洲 ） 央视新闻的微博视频 . ,871,17312,694,https://weibo.cn/comment/hot/J6SvztvqH?rl=2
2020-06-16,#北京出租车顺风车已暂停出京运营#,【#北京出租车顺风车已暂停出京运营#】据北京市交通委，为做好新冠肺炎疫情防控工作，阻断疫情通过出租车（含巡游车、网约车）、顺风车传播，昨起，北京市出租车（含巡游车、网约车）、顺风车暂停出京运营业务。对违反规定的，交通运输管理部门、交通执法部门将依法从快严肃处理。恢复出京运营业务时间另行通知。（总台央视记者何畅）,361,1945,245,https://weibo.cn/comment/hot/J6RKdbMYB?rl=2
2020-06-16,#北京要求严控高风险人员离京#,【#北京要求严控高风险人员离京# #已出京的要及时通报当地#】昨天下午，北京新冠肺炎疫情防控工作领导小组召开会议强调：①对有确诊病例的农贸市场、菜市场等周边小区严格封闭管理，对小区居民进行居家观察并核酸检测。②严控高风险人员离京，已经出京的要及时通报当地，防止疫情扩散。③从严加强社区防控工作。④做好学校防疫工作。⑤公交、地铁要控制满载率，乘客要佩戴口罩。http://t.cn/A6Lq9kk1,627,4792,631,https://weibo.cn/comment/hot/J6RnECrIW?rl=2
2020-06-16,#做好防护别让病毒乘隙而入#,【此刻，一起转发倡议！#做好防护别让病毒乘隙而入#】转起！齐心战疫情！ ,3207,3258,645,https://weibo.cn/comment/hot/J6RaTwvAA?rl=2
2020-06-16,#美国新冠肺炎超210万例#,【#美国新冠肺炎超210万例#】据美国约翰斯·霍普金斯大学新冠疫情统计数据，截至美东时间15日16:32，美国累计新冠肺炎确诊病例为2107632例，累计死亡116029例。过去24小时，美国新增确诊病例17274例，新增死亡病例384例。（央视记者王逢治） ,652,3036,405,https://weibo.cn/comment/hot/J6QsyANS1?rl=2
2020-06-15,#北京全市是否都需做核酸检测#,【#北京全市是否都需做核酸检测#？】@吴尊友-NCAIDS ：核酸检测是及时发现感染者、发现病人非常有效的手段。没有必要在北京对全市人民进行大规模筛查。对于这次疫情的响应，我们应该做到应检必检，主要是感染者、病人的密切接触者，或者是到过新发地市场的人员，以及到医院就诊的病人，对这些人员进行核算检测就能够及时有效的发现感染。 http://t.cn/A6LGoGwk,4424,16813,2663,https://weibo.cn/comment/hot/J6NJtt5aw?rl=2
2020-06-15,#吴尊友说北京这次疫情的源头应该不在北京#,【#吴尊友说北京这次疫情的源头应该不在北京#】吴尊友：#为什么北京突然发现疫情#？有两种可能，一种可能是病毒通过污染的物品进入到北京；还有一种可能是感染的人，特别是没有症状，或他有轻微症状，自己没有意识到，两种可能都存在。 央视新闻的微博视频 ,751,2954,371,https://weibo.cn/comment/hot/J6Nz9obxZ?rl=2
2020-06-15,#未来三天是北京面对疫情关键期#,【吴尊友：#未来三天是北京面对疫情关键期#】吴尊友：未来三天，北京报告的病例数决定了这次疫情的走向。由于北京在11日出现疫情后，很快就响应了。对于那些已感染的病人，要发病的话，也就是在明、后两天；明、后两天的报告数不大增长，也就是说这次疫情就基本稳定在这样一个规模了。 http://t.cn/A6LGiOd9,926,3672,427,https://weibo.cn/comment/hot/J6NxMBY6M?rl=2
2020-06-15,#北京疫情中高风险地区一览#,【转需！#北京疫情中高风险地区一览#】看图了解，严防严控！转！ ,1090,2209,392,https://weibo.cn/comment/hot/J6Ne2mmr9?rl=2
2020-06-15,#北京全市防控工作进入战时状态#,【周知！#北京全市防控工作进入战时状态#】不厌战、不松劲，个人防护要做好，万众一心战疫情！转起，我们能行！ ,2861,11851,1449,https://weibo.cn/comment/hot/J6N69Cznu?rl=2
2020-06-15,#俄罗斯胜利日阅兵首次夜间彩排#,【#俄罗斯胜利日阅兵首次夜间彩排#】俄罗斯纪念卫国战争75周年阅兵式进入最后准备阶段。昨天，俄军参阅部队举行首次夜间彩排。目前，计划参加阅兵的近200件武器装备已运抵莫斯科市内，将按计划参加两次夜间彩排。为防控疫情，参加彩排的俄军官兵均戴了口罩和手套。看视频↓#俄罗斯胜利日阅兵# http://t.cn/A6LGUcRX,484,2573,192,https://weibo.cn/comment/hot/J6MP6Fvjh?rl=2
2020-06-15,#白岩松对话吴尊友#,#白岩松对话吴尊友#【#北京全市防控工作进入战时状态# 疫情防控你关心啥？】今晚《新闻1+1》，主持人白岩松将连线中国疾控中心流行病学首席专家吴尊友，就近期北京出现的疫情，从流调处置与精准防控等方面进行解读。你关心哪些问题？快来留言↓#岩松帮你问# ,301,1814,392,https://weibo.cn/comment/hot/J6Mn4zjLf?rl=2
2020-06-15,#北京新增36例确诊#,#北京新增36例确诊#【直播！#北京疫情防控工作发布会#】今天下午，北京市召开疫情防控例行新闻发布会，有关单位介绍情况并回答记者提问。关注！ 央视新闻的微博视频 . ,632,16365,728,https://weibo.cn/comment/hot/J6L22sprz?rl=2
2020-06-15,#全球抗疫第一线#,#全球抗疫第一线#【#美国新冠肺炎超209万例#】一图了解新冠肺炎世界疫情形势！关注！ ,261,1449,224,https://weibo.cn/comment/hot/J6KU81pqZ?rl=2
2020-06-15,#河北保定市进入战时状态#,【#河北保定市进入战时状态#启动战时机制，严防疫情扩散】13日，河北省保定市应对疫情工作领导小组召开全市疫情防控调度会，指出：保定毗邻北京，货运往来、人员往来十分密切，必须高度警觉，立即行动。坚决杜绝任何侥幸心理，严防死守、精准施治、有效管控，严防疫情在保定扩散。（总台央视记者谢宾超）,704,4395,526,https://weibo.cn/comment/hot/J6KmLubrb?rl=2
2020-06-15,#北京4天共报告79例确诊病例#,【#北京4天共报告79例确诊病例#】看图了解北京最新疫情防控情况↓转发提醒：#近期去过北京新发地市场请立即报告#！防控不松懈！ ,970,3574,546,https://weibo.cn/comment/hot/J6Kfgro95?rl=2
2020-06-15,#北京市昨日检测76499人阳性59份#,【转发周知！战疫情！严防严控不放松！】#北京市昨日检测76499人阳性59份# #北京玉泉东市场周边10个社区封闭管理# #14天内出入新发地人员12973人均为阴性#一图了解今日北京疫情防控工作发布会要点↓↓转扩！ ,606,2151,390,https://weibo.cn/comment/hot/J6JQHtEyF?rl=2
2020-06-15,#北京玉泉东市场周边10个社区封闭管理#,【#北京玉泉东市场周边10个社区封闭管理#】海淀区人民政府常务副区长李俊杰：近日，北京海淀区玉泉东商品交易市场人员先后发现多例与新发地有关的新冠肺炎病例。海淀区疫情防控工作领导小组立即展开病例流调溯源、人员排查等工作，对市场周边10个社区采取封闭管理措施，落实24小时专人职守。#北京玉泉东市场周边中小学非毕业年级停课#，居家线上教学，中学毕业年级继续原教学安排，全部进行核酸检测，并配有体温计排查。 http://t.cn/A6L4gqu4,393,3916,435,https://weibo.cn/comment/hot/J6J8Oxubv?rl=2
2020-06-15,#北京将实施最严格流调#,【#北京将实施最严格流调#】北京市委宣传部副部长徐和建：北京新发地市场发生聚集性疫情，疫情扩散风险很高，将采取坚决果断措施，以新发地及周边地区为重点，实施最严格流调、全面溯源工作，对重点地区、重点区域、重点人群检测全覆盖，逐步扩大检测范围，及时发现确认病例和无症状感染者。 http://t.cn/A6L419oK,428,1711,269,https://weibo.cn/comment/hot/J6IWEdmGk?rl=2
2020-06-15,#北京师生进校一律核验身份和检测体温#,【#北京师生进校一律核验身份和检测体温#】今天，北京市教委发布，按照现在北京市整体防控要求和疫情的发展形势，①北京严格校园出入管理，师生员工进校一律核验身份和检测体温，校外无关人员一律不准进校；②在校园内包括上课期间都要全程佩戴口罩；③实行学生错峰就餐，开餐前半小时完成就餐区域桌椅、地面及空气消毒，并通风换气，就餐排队时与他人保持1米距离；④严禁外来人员进入厨房，接货人戴口罩、手套并保持一定距离在食堂外验收。详情→http://t.cn/A6L48zAN,342,3264,436,https://weibo.cn/comment/hot/J6IKNlf1V?rl=2
2020-06-15,#北京新增36例确诊#,#北京新增36例确诊#【直播！#北京疫情防控工作发布会#】今天上午，北京市召开疫情防控例行新闻发布会，有关单位介绍情况并回答记者提问。关注！ 央视新闻的微博视频 . ,319937,290997,10955,https://weibo.cn/comment/hot/J6IFWdQlN?rl=2
2020-06-15,#北京疫情扩散风险很高#,【孙春兰：#北京疫情扩散风险很高#】中共中央政治局委员、国务院副总理孙春兰14日召开国务院联防联控机制会议。孙春兰强调，①此次聚集性疫情与新发地农产品批发市场高度关联，市场人员密集、流动性大，疫情扩散的风险很高，要采取坚决果断措施，切实防止疫情扩散蔓延。②以新发地及周边地区为重点实施最严格的流调，开展深入全面的溯源工作，更加主动发现并控制感染源头。③支持北京市提升核酸检测能力，对重点区域、重点人群检测全覆盖，逐步扩大检测范围，及时发现确诊病例和无症状感染者。http://t.cn/A6LUmt5o,952,9062,870,https://weibo.cn/comment/hot/J6HR8eFMo?rl=2
2020-06-15,#北京丰台区副区长等被免职处理#,【疫情防控失职失责！#北京丰台区副区长等被免职处理#】昨天下午，北京市委常委会召开会议，研究关于对丰台区有关人员在新冠肺炎疫情防控工作中失职失责问题初步调查和处理的事项。经北京市委常委会研究，给予丰台区副区长周宇清免职处理。经丰台区委常委会研究，给予丰台区花乡党委书记王华免职处理；责令有关单位免去张月琳新发地农产品批发市场总经理职务。http://t.cn/A6L4SPqY,1060,5401,968,https://weibo.cn/comment/hot/J6HyG6ohZ?rl=2
2020-06-15,#主播说联播#,#主播说联播#【#面对疫情喊心累不是办法行动才是答案#！转发，给自己加油鼓劲】郭志坚：北京确诊病例数持续增加，不少人紧张了。随着排查推开，大概率还会有更多新增确诊病例。大家都要克服麻痹思想、厌战情绪、侥幸心理、松劲心态。这不是一道选择题，是必答题，必须答好！喊心累不是解决办法，行动起来才是答案。 http://t.cn/A6LUgPrp,1486,3931,525,https://weibo.cn/comment/hot/J6EQL4lZ9?rl=2
2020-06-14,#北京新增36例确诊#,#北京新增36例确诊#【直播！#北京疫情防控工作发布会#】今天下午，北京召开疫情防控例行新闻发布会，有关单位将介绍情况并回答记者提问。关注！#央视新闻微直播#（总台央视记者王丰） 央视新闻的微博视频 . ,1050,27100,550,https://weibo.cn/comment/hot/J6CqP9AEc?rl=2
2020-06-14,#北京丰台区花乡升级为高风险#,【#北京丰台区花乡升级为高风险# 转！战疫情！】 ,9187,27862,1430,https://weibo.cn/comment/hot/J6C1scbpA?rl=2
2020-06-14,#北京新发地周边居民全部核酸检测#,【#北京新发地周边居民全部核酸检测# 转！战疫情！】北京市委宣传部副部长徐和建：北京已进入非常时期。要抓好病例流调溯源，扩大流调范围，扩大对相关人员的医学观察范围，扩大核酸检测范围，扩大采样范围。核酸检测要做到应检尽检、愿检尽检，对新发地批发市场内人员和周边小区居民全部进行核酸检测，并实施医学观察措施。 http://t.cn/A6LyqKk3,624,4926,663,https://weibo.cn/comment/hot/J6AxBgL7T?rl=2
2020-06-14,#北京新增36例确诊#,#北京新增36例确诊#【直播！#北京疫情防控工作发布会#】今天，北京召开疫情防控例行新闻发布会，市政府相关部门负责人介绍有关情况，并答记者问。关注！#央视新闻微直播#（总台央视记者王小节） 央视新闻的微博视频 . ,2121,48608,1383,https://weibo.cn/comment/hot/J6zNbocOn?rl=2
2020-06-14,#吴尊友谈批发市场为何易成疫情暴发点#,【#吴尊友谈批发市场为何易成疫情暴发点# 转发分享！】中国疾控中心流行病学首席专家吴尊友：批发市场很多海产品都是冷冻储存，低温环境下，病毒能存活很久。市场每天大量人员进出，也易造成疫情扩散。正常自然界鱼体内不会带冠状病毒。有种推测是鱼被捕捞后，工人感染病毒，可能致鱼表面被污染。详情↓ http://t.cn/A6LLDHK4,645,3587,446,https://weibo.cn/comment/hot/J6zGZwT0t?rl=2
