时间,热评链接,评论内容,点赞数
2020-06-18,https://weibo.cn/comment/hot/J7blACZHd?rl=2,建议给参加抗议的医务人员 多加一些工资吧。是他们拿自己的生命安全换来的。,79
None,https://weibo.cn/comment/hot/J7blACZHd?rl=2,这就是中国效率,None
2020-06-18,https://weibo.cn/comment/hot/J7blACZHd?rl=2,医务人员辛苦了！疫情结束一定要好好奖励放假休息。,41
2020-06-18,https://weibo.cn/comment/hot/J7blACZHd?rl=2,医务人员辛苦了，北京现在真的太热了，一定不要中暑啊！希望也要保障医务人员的健康安全啊！大家加油！带好口罩！,45
2020-06-18,https://weibo.cn/comment/hot/J7blACZHd?rl=2,虽然是医护人员的份内工作，但还是心疼他们！这么热的天。。。希望结束后能多些补贴吧！,21
2020-06-18,https://weibo.cn/comment/hot/J7blACZHd?rl=2,辛苦了 北京加油💪,12
None,https://weibo.cn/comment/hot/J7bw8g7vg?rl=2,忍一忍吧北京的朋友！！！,None
2020-06-18,https://weibo.cn/comment/hot/J7bw8g7vg?rl=2,严防严控💪👍 一切都会好起来 加油💪,23
2020-06-18,https://weibo.cn/comment/hot/J7bw8g7vg?rl=2,首都加油！天气炎热，抗疫人员小心中暑！,12
2020-06-18,https://weibo.cn/comment/hot/J7bw8g7vg?rl=2,公布这两天的病例活动小区或者街道啊？！！！,13
None,https://weibo.cn/comment/hot/J7bw8g7vg?rl=2,我们小区保安连体温都不测，出入证也不看,None
2020-06-18,https://weibo.cn/comment/hot/J7bw8g7vg?rl=2,严防严控千万不能掉以轻心！很快就能好起来[加油],6
None,https://weibo.cn/comment/hot/J7bw8g7vg?rl=2,前天海淀确诊新增3例，请问是哪个小区的公布了吗？传染病信息公开的重要性不必多说了吧，最起码确诊病例居住的小区要及时公开吧。,None
2020-06-18,https://weibo.cn/comment/hot/J7bw8g7vg?rl=2,严防死守，守卫炸酱面！,4
None,https://weibo.cn/comment/hot/J7bw8g7vg?rl=2,严查严控！！！北京加油！！！！,None
2020-06-18,https://weibo.cn/comment/hot/J7bw8g7vg?rl=2,严防止扩散，加油 北京！,4
None,https://weibo.cn/comment/hot/J7bz8D40D?rl=2,加油首都！加油中国,None
2020-06-18,https://weibo.cn/comment/hot/J7bz8D40D?rl=2,阻断传播是关键,60
None,https://weibo.cn/comment/hot/J7bz8D40D?rl=2,啊 今年计划的北京之旅 彻底泡汤了,None
2020-06-18,https://weibo.cn/comment/hot/J7bz8D40D?rl=2,加油！！！,22
2020-06-18,https://weibo.cn/comment/hot/J7bz8D40D?rl=2,对 严格管理 加油💪,10
2020-06-18,https://weibo.cn/comment/hot/J7bz8D40D?rl=2,#三类人群严禁出京# 转发周知！战疫情！,2
None,https://weibo.cn/comment/hot/J7bz8D40D?rl=2,看着手机显示的黄亮亮的“中风险区”,None
None,https://weibo.cn/comment/hot/J7bz8D40D?rl=2,严加管理,None
2020-06-18,https://weibo.cn/comment/hot/J7bz8D40D?rl=2,加油,5
2020-06-18,https://weibo.cn/comment/hot/J7bz8D40D?rl=2,北京加油，中国加油！,4
2020-06-18,https://weibo.cn/comment/hot/J7col7q7L?rl=2,但是福建有学校要开学了……就很怕万一……,568
None,https://weibo.cn/comment/hot/J7col7q7L?rl=2,疫情还这么严重，福建闽南理工学院，在结课的情况下，6月26号让学生返校开学，省外6月23号就得回去。,None
2020-06-18,https://weibo.cn/comment/hot/J7col7q7L?rl=2,闽南理工学院开学#抵制不合理开学，拒绝暑假补课，希望学校给学生和家长一个合理的交代！#闽南理工学院开学#大家快去点赞留言！,328
None,https://weibo.cn/comment/hot/J7col7q7L?rl=2,愿疫情早日结束，愿世界人民平安，北京加油,None
None,https://weibo.cn/comment/hot/J7col7q7L?rl=2,都这种情况了福建居然还有高校强制学生开学，不给省内学生做核酸检测还要学生签免责协议书我的天，太可怕了吧,None
2020-06-18,https://weibo.cn/comment/hot/J7col7q7L?rl=2,然而我们要开学了，七月份还这么热，好惨,296
2020-06-18,https://weibo.cn/comment/hot/J7col7q7L?rl=2,就一句话，怎么有用怎么来，我们积极配合,87
None,https://weibo.cn/comment/hot/J7col7q7L?rl=2,某闽南理工高校要求强制开学就很恐怖,None
2020-06-18,https://weibo.cn/comment/hot/J7col7q7L?rl=2,您快看看他们学校吧，福建省泉州市石狮市闽南理工学院,160
None,https://weibo.cn/comment/hot/J7dlVE0m8?rl=2,看到每天增长的数字我都睡不好觉，更别说市政府了,None
2020-06-18,https://weibo.cn/comment/hot/J7dlVE0m8?rl=2,北京朝阳，14号做了核酸到现在没有结果,1
2020-06-18,https://weibo.cn/comment/hot/J7dlVE0m8?rl=2,请公布街道乡镇讯息！谢谢！,68
2020-06-18,https://weibo.cn/comment/hot/J7dlVE0m8?rl=2,稳住，一定能赢！严防严控！北京加油！,40
2020-06-18,https://weibo.cn/comment/hot/J7dlVE0m8?rl=2,突然就不公布确诊病例的流调情况了！更让人猜疑信谣啦,28
2020-06-18,https://weibo.cn/comment/hot/J7dlVE0m8?rl=2,第一批商户及密接 周边小区全部做完核酸之前 每天几十个是正常的  。每天的检测量放在那里呢,25
2020-06-18,https://weibo.cn/comment/hot/J7dlVE0m8?rl=2,稳住！一定赢！北京加油！,21
2020-06-18,https://weibo.cn/comment/hot/J7dlVE0m8?rl=2,一定做好防疫啦！！！尤其是每天人山人海的地铁，电梯等等！！！,10
2020-06-18,https://weibo.cn/comment/hot/J7dlVE0m8?rl=2,权威途径倒是公布一些详细情况哇！确诊病例在不在身边都不知道,13
2020-06-18,https://weibo.cn/comment/hot/J7dlVE0m8?rl=2,北京为什么信息这么不透明呢？确诊7例的某餐馆到底是不是川菜馆？你说清楚去过的人也可以去做核酸检测啊,11
2020-06-18,https://weibo.cn/comment/hot/J7a3r3bse?rl=2,一线医护工作者非常辛苦，作为央媒，能不能督促地方部门解决后后勤，改善现场工作环境？？？,301
2020-06-18,https://weibo.cn/comment/hot/J7a3r3bse?rl=2,前面这些营销号既然权重能到前排就不能说点别的么？我们感恩医护人员，但是我们不想让他们用这种方式，他们明明可以得到更好的，我们不需要这样的宣传，只需要让我们的医护人员后勤保障到位,70
2020-06-18,https://weibo.cn/comment/hot/J7a3r3bse?rl=2,希望可以给医护人员们好一点的条件,120
2020-06-18,https://weibo.cn/comment/hot/J7a3r3bse?rl=2,一线人员今年一直是最忙碌最辛苦的，希望可以改善他们的待遇。,77
2020-06-18,https://weibo.cn/comment/hot/J7a3r3bse?rl=2,希望北京能得到最好的控制，希望不要再传播了，其它省能正常工作。,21
None,https://weibo.cn/comment/hot/J7a3r3bse?rl=2,致敬北京战疫工作者！辛苦了,None
2020-06-18,https://weibo.cn/comment/hot/J7a3r3bse?rl=2,请一定要保护自己的安全🙏,12
2020-06-18,https://weibo.cn/comment/hot/J7a3r3bse?rl=2,北京高温炎热，保护好我们的医护英雄们,17
None,https://weibo.cn/comment/hot/J7a3r3bse?rl=2,致敬抗疫一线的工作人员！注意防暑降温！早上好央央,None
2020-06-18,https://weibo.cn/comment/hot/J7a3r3bse?rl=2,除了感谢不知道该说什么 🙏🙏🙏那么还有一句惟愿平安,8
2020-06-17,https://weibo.cn/comment/hot/J74Pyz5bq?rl=2,严防严控！,16
None,https://weibo.cn/comment/hot/J74Pyz5bq?rl=2,保定呢,None
2020-06-17,https://weibo.cn/comment/hot/J74Pyz5bq?rl=2,严防严防！！！,9
None,https://weibo.cn/comment/hot/J74Pyz5bq?rl=2,这届高校毕业生太难了，很多已经来到学校，不能出来，只能待在校园,None
2020-06-17,https://weibo.cn/comment/hot/J74Pyz5bq?rl=2,加油吧,5
2020-06-17,https://weibo.cn/comment/hot/J74Pyz5bq?rl=2,必须严控严防,4
2020-06-17,https://weibo.cn/comment/hot/J74Pyz5bq?rl=2,加油！,1
None,https://weibo.cn/comment/hot/J74Pyz5bq?rl=2,加油噢,None
2020-06-17,https://weibo.cn/comment/hot/J75IkCPvR?rl=2,西城统一组织的检测，15号早上做的，17号晚上还没出结果，太慢了。,2
2020-06-17,https://weibo.cn/comment/hot/J75IkCPvR?rl=2,最近这几天还会有新增确诊，都做好准备了🙏🙏我们每个人一定要戴好口罩，做好配合,193
2020-06-17,https://weibo.cn/comment/hot/J75IkCPvR?rl=2,河北即将举行的专接本考试会不会影响疫情？,173
2020-06-17,https://weibo.cn/comment/hot/J75IkCPvR?rl=2,做好个人防护，就是为抗疫出一份力[加油],57
2020-06-17,https://weibo.cn/comment/hot/J75IkCPvR?rl=2,严防不松懈，北京加油！,35
2020-06-17,https://weibo.cn/comment/hot/J75IkCPvR?rl=2,严防严控，绝不放松！加油！,28
None,https://weibo.cn/comment/hot/J75IkCPvR?rl=2,绝不松懈，严格防控，北京加油,None
2020-06-17,https://weibo.cn/comment/hot/J75IkCPvR?rl=2,天天这么干累死了！！！能不能给医务工作者涨涨工资！！！！！能不能！！！！！我们被领导通知这次检测是义务劳动！！没有补休没有补助，天天忙到很晚下班，家里还有孩子没断奶！能不能真正关心我们一下！！！我们不要那些虚头巴脑的先进个人优秀党员，我们就是缺钱！！！,24
2020-06-17,https://weibo.cn/comment/hot/J75Jy2yIZ?rl=2,北京加油呀🙏🙏,64
None,https://weibo.cn/comment/hot/J75Jy2yIZ?rl=2,北新桥有确诊吗,None
2020-06-17,https://weibo.cn/comment/hot/J75Jy2yIZ?rl=2,和平里咋了？还没看到具体新闻是啥情况？,6
None,https://weibo.cn/comment/hot/J75Jy2yIZ?rl=2,我们公司在低风险地区，但是单位里有居住在高风险地区的同事，他也没有核酸检测，这怎么办阿？搞得心慌慌,None
2020-06-17,https://weibo.cn/comment/hot/J75Jy2yIZ?rl=2,和平里街道为什么变为中风险地区啊？,101
None,https://weibo.cn/comment/hot/J75Jy2yIZ?rl=2,和平里北新桥，只差3站了,None
2020-06-17,https://weibo.cn/comment/hot/J75Jy2yIZ?rl=2,太难了，北京稳住，,40
2020-06-17,https://weibo.cn/comment/hot/J75Jy2yIZ?rl=2,浙江11个市发布通知，全国中高风险区，返浙人员，一律14天医学隔离观察，费用一律自费,32
None,https://weibo.cn/comment/hot/J75Jy2yIZ?rl=2,北京一定能稳住 北京加油,None
2020-06-17,https://weibo.cn/comment/hot/J75Jy2yIZ?rl=2,炸酱面撑住！！,20
None,https://weibo.cn/comment/hot/J767Ir1lw?rl=2,身边的朋友陆续被通知去做检测，甚至仅仅是曾经开车路过，大数据都筛查出来了！但是没有人有怨言，大热天的，检测人员，基层社区组织人员甚至彻夜工作，都是为了可以在最短的时间内检测更多的样本，,None
2020-06-17,https://weibo.cn/comment/hot/J767Ir1lw?rl=2,社畜太绝望了，公司不给错峰上下班，也不给轮岗，家还是丰台马家堡街道（低风险地区），人事觉得没关系可以来上班，真的很害怕啊。可以不要鼓励远程办公有强制性一点的么，哪怕复工率50%轮着去也行啊，明明在家都可以做的工作,12
2020-06-17,https://weibo.cn/comment/hot/J767Ir1lw?rl=2,一线检测人员辛苦了！感谢您们的辛苦付出和坚持，向您们致敬！4天35W+的检测人数，谁不说一声中国牛逼！杠精别杠，你牛逼你上，别当嘴把式。,114
2020-06-17,https://weibo.cn/comment/hot/J767Ir1lw?rl=2,大数据筛查真的很棒！国家力度很足！但社区防控细节多，难点重，很难及时才去充分有效措施，包括未统一规定时的核酸检测，相对无序薄弱，但现在大数据来说话，真的解了百姓的焦虑！我们安心在家，你们劳碌前方！争取尽快遏制疫情！重回健康北京！,57
2020-06-17,https://weibo.cn/comment/hot/J767Ir1lw?rl=2,今天开始继续网课了，疫情期间防控最重要，严防控制，炸酱面早点好起来～,36
2020-06-17,https://weibo.cn/comment/hot/J767Ir1lw?rl=2,我们小区在花乡，离新发地不远，但是根本没有人管，也没实行封闭管理，楼下还有不戴口罩的人在聊天。,27
2020-06-17,https://weibo.cn/comment/hot/J767Ir1lw?rl=2,相信中国，相信北京。,18
2020-06-17,https://weibo.cn/comment/hot/J767Ir1lw?rl=2,祝愿一切平安🙏，北京加油,18
None,https://weibo.cn/comment/hot/J76Htfo6a?rl=2,煎饼果子也加油,None
None,https://weibo.cn/comment/hot/J76Htfo6a?rl=2,北京加油，炸酱面加油,None
2020-06-17,https://weibo.cn/comment/hot/J76Htfo6a?rl=2,热干面为炸酱面加油,655
None,https://weibo.cn/comment/hot/J76Htfo6a?rl=2,驴肉火烧也会好起来的,None
2020-06-17,https://weibo.cn/comment/hot/J76Htfo6a?rl=2,加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油,4
2020-06-17,https://weibo.cn/comment/hot/J76Htfo6a?rl=2,郭志坚太帅了,152
None,https://weibo.cn/comment/hot/J76Htfo6a?rl=2,山东大葱给炸酱面加油！一定会好起来,None
2020-06-17,https://weibo.cn/comment/hot/J76Htfo6a?rl=2,已经到天津捞面了！,125
2020-06-17,https://weibo.cn/comment/hot/J76Htfo6a?rl=2,炸酱面加油啊！一定要撑住！大家再坚持一下！,43
None,https://weibo.cn/comment/hot/J76UL2So0?rl=2,加油,None
2020-06-17,https://weibo.cn/comment/hot/J76UL2So0?rl=2,相信,5
2020-06-17,https://weibo.cn/comment/hot/J76UL2So0?rl=2,加油,10
2020-06-17,https://weibo.cn/comment/hot/J76UL2So0?rl=2,会好的,7
2020-06-17,https://weibo.cn/comment/hot/J76UL2So0?rl=2,加油,4
2020-06-17,https://weibo.cn/comment/hot/J76UL2So0?rl=2,祖国强大,4
None,https://weibo.cn/comment/hot/J76UL2So0?rl=2,战胜疫情,None
None,https://weibo.cn/comment/hot/J74j01PiB?rl=2,我们不配，看看你们美国大哥倒可以哈,None
None,https://weibo.cn/comment/hot/J74j01PiB?rl=2,这东西怎么可能虚假宣传？我们就如一面镜子，然而虚假的就是他们,None
2020-06-17,https://weibo.cn/comment/hot/J74j01PiB?rl=2,澳大利亚外长跟彭佩奥学的，都一个甩锅黑中学院出来的,48
2020-06-17,https://weibo.cn/comment/hot/J74j01PiB?rl=2,袋鼠为什么非要做美🐶呢,28
None,https://weibo.cn/comment/hot/J74j01PiB?rl=2,澳方自家院子都烧了半年了,None
2020-06-17,https://weibo.cn/comment/hot/J74j01PiB?rl=2,澳洲戴着太合适了,17
2020-06-17,https://weibo.cn/comment/hot/J74j01PiB?rl=2,清者自清,11
None,https://weibo.cn/comment/hot/J71ltu4t6?rl=2,机票呢？,None
2020-06-17,https://weibo.cn/comment/hot/J71ltu4t6?rl=2,民航局永远比铁路慢半拍。等人家机票退的差不多了，再出个免费退票政策。,68
None,https://weibo.cn/comment/hot/J71ltu4t6?rl=2,我刚刚退的票，还是收了手续费,None
2020-06-17,https://weibo.cn/comment/hot/J71ltu4t6?rl=2,我13号的票，谁想到事态严重了，半夜把我这个小区封了，最后只能把票退了也被扣手续费了，我就想知道这个手续费退不退给我,5
None,https://weibo.cn/comment/hot/J71ltu4t6?rl=2,前几天退的还扣了手续费，寻思不给首都添乱吧，谁知道还自我损失了,None
2020-06-17,https://weibo.cn/comment/hot/J71ltu4t6?rl=2,人性化服务，支持！！！,47
2020-06-17,https://weibo.cn/comment/hot/J71ltu4t6?rl=2,刚收了我的手续费,34
2020-06-17,https://weibo.cn/comment/hot/J71ltu4t6?rl=2,退早了。。。,24
None,https://weibo.cn/comment/hot/J71ltu4t6?rl=2,昨天刚退…扣的手续费咋办,None
2020-06-17,https://weibo.cn/comment/hot/J72a7rYBx?rl=2,准点开始吗,52
2020-06-17,https://weibo.cn/comment/hot/J72a7rYBx?rl=2,我在丰台区也是全员上班,20
None,https://weibo.cn/comment/hot/J72a7rYBx?rl=2,我们高校毕业生太难了，前几天到的学校，现在被叫停，全班人不齐 ，出不了校门,None
2020-06-17,https://weibo.cn/comment/hot/J72a7rYBx?rl=2,全员上班的咋整呢,78
None,https://weibo.cn/comment/hot/J72a7rYBx?rl=2,上班族咋办呢，一直没有收到通知,None
2020-06-17,https://weibo.cn/comment/hot/J72a7rYBx?rl=2,北京加油！！！ 可是河北专接本考试20号举行  不考虑推迟几天吗。。。。毕竟那么多人跨省跨市的流动，还是安全第一吧，不光考生，家里人也会跟着担心……,67
2020-06-17,https://weibo.cn/comment/hot/J72a7rYBx?rl=2,注意疫情反弹，严防严控💪🏻！,44
2020-06-17,https://weibo.cn/comment/hot/J72a7rYBx?rl=2,买菜的传染买菜的，买菜的传染煮菜的，煮菜的传染上菜的，上菜的传染吃菜的，这就离谱,56
2020-06-17,https://weibo.cn/comment/hot/J72a7rYBx?rl=2,新发地这传染轨迹跟武汉华南海鲜城真的挺像 好在有武汉的经验在前 希望这次能够绞杀新冠于萌芽 北京加油 中国无恙,37
2020-06-17,https://weibo.cn/comment/hot/J72a7rYBx?rl=2,炸酱面加油(ง •̀_•́)ง！,20
None,https://weibo.cn/comment/hot/J73ibv2kg?rl=2,我也是湖北人，我为湖北医护人员加油，为北京加油！[加油][加油]，平平安安的回家,None
2020-06-17,https://weibo.cn/comment/hot/J73ibv2kg?rl=2,都是阿中的孩子[嘿哈],549
None,https://weibo.cn/comment/hot/J73ibv2kg?rl=2,靠，这是那个买不上菜的小区的博主发的图，你们关注一下那个事可以吗,None
2020-06-17,https://weibo.cn/comment/hot/J73ibv2kg?rl=2,北京加油！,270
